DEF_SUB,ACO_NUM,aco_npi_cnt,saving_npi_pct,aco_epi_cnt,aco_readm_oe,aco_readm_saving,aco_er_oe,aco_er_saving,aco_ins_oe,aco_ins_saving,avg_aco_saving,total_aco_saving,avg_cost_score,avg_quality_score
PPI_IOP_MJRLE_KNEE,A4977,8,0.875,129,1.0044544435,58.959093728,0.9342887948,9.1426024588,1.1688591362,155.57185388,223.67355006,28853.887957,3.984496124,3.5736434109
PPI_IOP_MJRLE_KNEE,A4979,5,0.8,122,1.3218530084,151.175913,1.2600598194,10.758417775,1.3196691905,329.94537729,491.87970807,60009.324385,2.9918032787,3.4262295082
PPI_IOP_MJRLE_KNEE,A4983,1,0,13,0.613228148,0,0.405720715,0,0.560562974,0,0,0,5,4
PPI_IOP_MJRLE_KNEE,A4984,3,1,63,0.6475573728,25.341867144,1.2086033993,12.096804669,0.3639078359,0,37.438671813,2358.6363242,4.7301587302,2.4444444444
PPI_IOP_MJRLE_KNEE,A4988,2,1,51,0.5349319299,0,1.0030296525,2.4419080498,1.1661924968,392.96407456,395.40598261,20165.705113,2.3921568627,2.6078431373
PPI_IOP_MJRLE_KNEE,A4992,10,0.8,149,0.8249929423,47.808087918,1.0143607204,5.9725485084,0.8074179018,76.871366938,130.65200336,19467.148501,3.3489932886,2.8255033557
PPI_IOP_MJRLE_KNEE,A4998,4,0.75,147,1.0443068472,43.145520398,1.0518328125,3.4453376401,1.3565381581,295.7042081,342.29506614,50317.374723,3.1632653061,3.7482993197
PPI_IOP_MJRLE_KNEE,A4999,4,0.25,48,0.3493393568,0,0.9808153694,5.5546989185,0.4121545469,0,5.5546989185,266.62554809,2.9791666667,3.4791666667
PPI_IOP_MJRLE_KNEE,A5003,1,1,13,0.455143884,0,1.047943713,1.381963312,0.553121715,0,1.381963312,17.965523056,2,3
PPI_IOP_MJRLE_KNEE,A5012,5,1,82,1.0829701162,75.174967415,1.1910651385,8.1481536568,1.5911381422,468.1756722,551.49879335,45222.901055,2.5243902439,2.4756097561
PPI_IOP_MJRLE_KNEE,A5013,2,0.5,28,0.60750842,0,0.8757234572,0.7628765185,0.8159293084,0,0.7628765185,21.360542517,3.6071428571,5
PPI_IOP_MJRLE_KNEE,A5022,3,1,85,1.1683920174,53.503499291,2.1554547782,21.565038801,0.6930680999,127.95368593,203.02222401,17256.889041,3.8470588235,2.6117647059
PPI_IOP_MJRLE_KNEE,A5023,1,1,18,2.920355035,429.1391724,0.564886486,0,1.019343674,24.99707592,454.1362483,8174.4524694,3,1
PPI_IOP_MJRLE_KNEE,A5028,2,1,35,1.7404346645,132.64661206,0.7891165641,0.3666436226,1.4725921414,372.30430957,505.31756528,17686.114785,1.9714285714,2.4571428571
PPI_IOP_MJRLE_KNEE,A5032,5,1,87,1.3619366075,159.00434426,0.7013308796,1.4830038236,1.0953443876,224.34988038,384.83722847,33480.838877,3.275862069,3.6436781609
PPI_IOP_MJRLE_KNEE,A5033,11,0.7272727273,238,0.8543877367,33.55011251,0.9620978734,10.049208562,1.0085544045,160.22955829,203.82887936,48511.273287,2.8193277311,2.9537815126
PPI_IOP_MJRLE_KNEE,A5037,2,0,40,0.4938190508,0,0.3588024131,0,0.6314589387,0,0,0,4.4,3.3
PPI_IOP_MJRLE_KNEE,A5039,1,1,19,2.411210288,327.8982243,1.26456649,14.00640753,1.492911066,517.3678101,859.2724419,16326.176396,,
PPI_IOP_MJRLE_KNEE,A5040,6,0.6666666667,226,0.8065515634,90.981079661,0.9144248596,2.3743037517,0.6294578807,126.41527434,219.77065775,49668.168651,3.8539823009,3.6681415929
PPI_IOP_MJRLE_KNEE,A5045,1,0,11,0.233413151,0,0.786475594,0,0.288923589,0,0,0,5,1
PPI_IOP_MJRLE_KNEE,A5049,3,0.3333333333,51,0.3142089205,0,1.0163560924,28.028666612,0.7120082084,0,28.028666612,1429.4619972,1.5490196078,3.0784313725
PPI_IOP_MJRLE_KNEE,A5056,3,0.3333333333,92,0.6996414989,0,0.9676265224,2.4191405266,0.8127275575,57.787453203,60.206593718,5539.0066221,3.0326086957,3.1847826087
PPI_IOP_MJRLE_KNEE,A5058,2,0.5,27,1.0239596142,51.983067606,1.0843797792,18.724096044,0.7374851796,0,70.707163667,1909.093419,4.5555555556,2
PPI_IOP_MJRLE_KNEE,A5062,9,1,135,1.3971403064,137.39840507,1.1467741535,14.781449531,1.2195149876,323.82393157,476.00378618,64260.511134,3.0814814815,2.3111111111
PPI_IOP_MJRLE_KNEE,A5066,4,0.5,94,0.4762799751,0,1.0907717596,8.4092943066,0.3590803846,0,8.4092943066,790.47366482,2.4361702128,2.7127659574
PPI_IOP_MJRLE_KNEE,A5067,2,0.5,28,0.675843199,9.3986600464,0.6081473386,0,0.7167149396,0,9.3986600464,263.1624813,4.0714285714,4
PPI_IOP_MJRLE_KNEE,A5074,2,0.5,53,0.679323362,0,1.5611939831,27.213735765,1.2630740264,472.01774569,499.23148142,26459.268515,3.7924528302,2.7924528302
PPI_IOP_MJRLE_KNEE,A5080,1,0,18,0.670393612,0,0.445969324,0,0.008290933,0,0,0,4,4
PPI_IOP_MJRLE_KNEE,A5088,7,0.8571428571,168,0.760818879,35.904018958,0.6663909471,3.5210090759,0.8716014986,137.30460741,176.72963544,29690.578754,3.6369047619,3.1369047619
PPI_IOP_MJRLE_KNEE,A5092,2,0.5,29,0.5205990618,0,1.1461164383,22.019593912,0.3608468497,0,22.019593912,638.56822344,4.4827586207,4.5172413793
PPI_IOP_MJRLE_KNEE,A5094,2,1,65,0.7337635105,1.6190283699,1.170054258,11.504261313,1.0275325973,293.76220467,306.88549432,19947.557131,1.9846153846,1.9846153846
PPI_IOP_MJRLE_KNEE,A5098,1,1,12,1.066257796,19.37116611,0.904099531,0,1.031351673,74.32279805,93.69396415,1124.3275698,5,5
PPI_IOP_MJRLE_KNEE,A5116,5,1,77,0.9646564283,58.328077532,0.7588700172,0.3565079333,1.2837057864,250.22984673,308.91443219,23786.411279,3.2987012987,2.7142857143
PPI_IOP_MJRLE_KNEE,A5124,6,0.8333333333,159,0.31360521,0,1.3186000811,36.487492621,1.1103304847,198.2720624,234.75955502,37326.769248,2.8805031447,3.2767295597
PPI_IOP_MJRLE_KNEE,A5147,1,1,19,1.763780449,217.5021048,2.143002145,48.7517234,0.962515035,0,266.2538282,5058.8227358,3,2
PPI_IOP_MJRLE_KNEE,A5148,6,1,157,0.8872701404,20.076958614,0.608451717,2.5667967474,1.9472343122,984.10238944,1006.7461449,158059.14475,2.974522293,3.8152866242
