PROVIDER_ID,DEACTIVATION_YEAR,STATE
1780868901,,FL
1659348951,,NC
1801863154,,FL
1255308508,,TX
1629045893,,OH
1467414516,,TX
1891757902,,FL
1275595167,,TX
1114989118,,MI
1659333565,,TX
1932161544,,OH
1699848648,,CO
1295808004,,CA
1538232574,,AL
1134544125,,CA
1164847083,,FL
1598181299,,FL
1124443585,2021,
1619428810,2022,
1790237584,,OH
1578015384,,PA
1144248360,2007,SC
1578571428,,WA
1093724239,,NY
1710995634,2021,
1174532881,,MN
1861401473,,WI
1346627049,,MO
1962015750,,VA
1285063644,,WA
1952378259,,AZ
1720055999,,NY
1437111531,,NY
1073575148,,AR
1669449369,2022,
1043272842,,FL
1982666855,,CA
1356303028,,KS
1619939246,,OH
1518929231,,PA
1861454597,,PA
1497133813,,NY
1770655300,,CA
1275606246,,AZ
1417020314,,FL
1316362353,,UT
1659797348,,MO
1922424415,,FL
1144644246,,TN
1760584056,,MI
1396753042,,FL
1750390100,,OH
1225047467,,CA
1659380319,,WI
1700895026,,TX
1154330470,,WI
1972512655,,AZ
1306855671,,NM
1740257963,,IL
1275500340,,AL
1477515492,,ME
1437111465,2022,
1073575932,,TX
1720040470,,AR
1497717128,,AR
1639651474,,WA
1568534139,,AZ
1518039148,,NV
1386717742,,WI
1740293166,,OR
1194140228,,WA
1891110805,,TN
1023434248,,TN
1710438130,,GA
1093267056,,FL
1487662482,,TX
1528076668,,VA
1689682411,,IL
1144238833,,SC
1649289398,,PR
1588672570,,CT
1518571546,,IL
1558309328,,TX
1417924952,,NC
1427025584,,NE
1811964448,,MD
1508833039,2021,
1770545659,,CT
1538121322,,ID
1982667515,,FL
1912943374,,AZ
1124052774,,NY
1750453718,,HI
1356414213,,IL
1609327030,,WA
1740731876,,NY
1902908296,,FL
1942218847,,WA
1770591620,,UT
1699783647,,CT
1205844347,,NY
1164431391,,IL
1578571626,,CA
1730197526,2022,
1881603264,,AR
1962411538,,TX
1821376526,,AZ
1841578424,,NC
1043299506,,MN
1376841197,,IA
1710908348,,NY
1053366963,,MA
1467407247,,KY
1922029586,,TN
1023491339,,CA
1861413387,,CA
1033164686,,PA
1841245743,,ND
1518912385,,NJ
1982659413,,IL
1689629297,,MA
1457306953,,IL
1447205067,,NJ
1164477667,,NY
1932154267,,AL
1114972452,,MA
1225083587,,CO
1881649598,,MI
1508811076,,IA
1932154606,,AR
1497700835,,CO
1902851058,,OH
1578518312,,OK
1710932249,,KS
1104871847,,OR
1588619209,,AL
1861447252,,NC
1366497885,,KS
1386639656,,CA
1518254788,,PA
1730134925,,AL
1093760167,,AZ
1285660712,,TX
1972890283,,AR
1285921353,,WI
1326093030,2021,
1508811720,,NY
1578891834,,CO
1275509150,,MA
1851367890,,MA
1346538444,,FL
1154398089,,ME
1336115468,,AZ
1699741736,,MD
1164498150,,IA
1902872955,,PA
1083680136,,PA
1316913395,,MN
1013983063,,FL
1083756381,2023,
1487973665,,CA
1033515317,,MI
1902872898,,PR
1184997959,,IL
1306118161,,TX
1700270915,,CA
1922492107,,VA
1851785356,,WI
1124412341,,TX
1558755777,,VA
1457745671,,FL
1083278030,,MA
1407411739,,FL
1730744400,,CT
1831755404,,CA
1659458800,,CT
1023196821,,MS
1275815722,,CA
1831471184,,CA
1295018737,,TN
1659878213,,NY
1316332208,,VT
1942865738,,NV
1245892785,,KS
1548827900,,GA
1679130546,,TX
1972169746,,OH
1194803056,,AZ
1083791529,2021,
1245317254,,CT
1821370545,,MI
1639185986,2023,
1306342530,2022,
1609260686,,NY
1861886822,,OH
1356735435,2022,
1013572502,,TN
1225695455,,OH
1184890519,,MI
1780627273,,UT
1548476757,,MA
1174600480,2021,
1760569503,2021,
1861570335,,PA
1558448977,,WI
1295017606,,IA
1548542756,,NY
1477836112,,MA
1912280363,,FL
1598008161,,IN
1497251896,,OH
1962896852,,MI
1619533981,,MO
1477119543,,AR
1306403449,,NY
1881800928,,LA
1306923016,,CA
1417034653,,MD
1740367796,,WI
1457634834,,TN
1396189254,,PA
1215321401,,MI
1700270600,,AR
1265097802,,MA
1427614932,,FL
1407412042,,GA
1770140220,,NY
1255547170,,WA
1063590941,,RI
1598843088,,CO
1508944257,,CA
1629156427,,MT
1760764658,,OR
1568745966,,MS
1073177432,,AZ
1083279186,,NY
1548825656,,AZ
1225693294,,VA
1851956791,,GA
1982261186,,AZ
1427615681,,AR
1598971723,,AZ
1174600670,,VA
1326126186,,WA
1396823142,,VA
1841573516,,NY
